Ticker,Date,Revenue,NetIncome,EBITDA,TotalDebt,TotalAssets,TotalEquity,SharesOutstanding,EPS,BookValuePerShare
AAPL,2023-12-31,,,,,,,15552799744,,
AAPL,2024-06-30,85777000000.0,21448000000.0,28202000000.0,101304000000.0,331612000000.0,66708000000.0,15334099968,1.3987126759809057,4.350304232997681
AAPL,2024-09-30,94930000000.0,14736000000.0,32502000000.0,106629000000.0,364980000000.0,56950000000.0,15204100096,0.9692122458386636,3.7457001493289823
AAPL,2024-12-31,124300000000.0,36330000000.0,45912000000.0,96799000000.0,344085000000.0,66758000000.0,15115799552,2.4034454727334027,4.416438559557845
AAPL,2025-03-31,95359000000.0,24780000000.0,32250000000.0,98186000000.0,331233000000.0,66796000000.0,15022100480,1.6495695813638973,4.446515325132481
AAPL,2025-06-30,94036000000.0,23434000000.0,31032000000.0,101698000000.0,331495000000.0,65830000000.0,14977399808,1.5646240536012803,4.395288958290189
ABBV,2023-12-31,,,,,,,1765539968,,
ABBV,2024-03-31,,,,,,,1770649984,,
ABBV,2024-06-30,14462000000.0,1370000000.0,5003000000.0,70634000000.0,141937000000.0,6778000000.0,1788440064,0.766030703279973,3.7898949684902608
ABBV,2024-09-30,14460000000.0,1561000000.0,4883000000.0,71079000000.0,143422000000.0,6032000000.0,1766339968,0.8837483317367815,3.4149711319899203
ABBV,2024-12-31,15102000000.0,-22000000.0,535000000.0,67144000000.0,135161000000.0,3325000000.0,1767139968,-0.0124494948891337,1.881571386653171
ABBV,2025-03-31,13343000000.0,1286000000.0,4400000000.0,69889000000.0,136165000000.0,1420000000.0,1768979968,0.7269726188329567,0.8027224873583193
ABBV,2025-06-30,15423000000.0,938000000.0,4344000000.0,70481000000.0,137182000000.0,-183000000.0,1766400000,0.5310235507246377,-0.1036005434782608
ABT,2023-12-31,,,,,,,1736060032,,
ABT,2024-06-30,10377000000.0,1302000000.0,2552000000.0,14754000000.0,73017000000.0,39318000000.0,1739629952,0.7484350326936656,22.6013583836018
ABT,2024-09-30,10635000000.0,1646000000.0,2883000000.0,14979000000.0,74356000000.0,39796000000.0,1739900032,0.9460313637145792,22.8725784631746
ABT,2024-12-31,10974000000.0,9229000000.0,2973000000.0,15021000000.0,81414000000.0,47664000000.0,1734460032,5.320964351861179,27.480598642010104
ABT,2025-03-31,10358000000.0,1325000000.0,2665000000.0,13242000000.0,81448000000.0,48811000000.0,1734320000,0.7639881913372388,28.144171779141104
ABT,2025-06-30,11142000000.0,1779000000.0,3048000000.0,13437000000.0,83999000000.0,50565000000.0,1788390016,0.9947494584984308,28.274033934217623
ACN,2023-11-30,,,,,,,628120000,,
ACN,2024-02-29,,,,,,,626992000,,
ACN,2024-05-31,16466828000.0,1932183000.0,2936933000.0,4601543000.0,54141319000.0,27744489000.0,628729024,3.073156998077442,44.12789602663547
ACN,2024-08-31,16405819000.0,1684301000.0,2662666000.0,4120549000.0,55932363000.0,28288646000.0,626384000,2.688927239520805,45.16182724973818
ACN,2024-11-30,17689545000.0,2278894000.0,3203710000.0,8146397000.0,59868070000.0,29190495000.0,624856000,3.647070685085844,46.71555526393281
ACN,2025-02-28,16659301000.0,1788075000.0,2714304000.0,8060330000.0,59869756000.0,29246053000.0,625480000,2.8587244995843193,46.75777482893138
ACN,2025-05-31,17727871000.0,2197501000.0,3310745000.0,8165258000.0,63362028000.0,30554725000.0,626025984,3.51023928105834,48.80743895767751
ADBE,2023-11-30,,,,,,,455300000,,
ADBE,2024-02-29,,,,,,,452000000,,
ADBE,2024-05-31,5309000000.0,1573000000.0,2185000000.0,6090000000.0,30007000000.0,14843000000.0,480152992,3.2760391504547783,30.913063642848236
ADBE,2024-08-31,5408000000.0,1684000000.0,2306000000.0,6078000000.0,29830000000.0,14545000000.0,449159008,3.749229048079116,32.382741392108514
ADBE,2024-11-30,5606000000.0,1683000000.0,2259000000.0,6056000000.0,30230000000.0,14105000000.0,440200000,3.823262153566561,32.04225352112676
ADBE,2025-02-28,5714000000.0,1811000000.0,2461000000.0,6563000000.0,29955000000.0,13095000000.0,437183008,4.142429982091161,29.953131206782857
ADBE,2025-05-31,5873000000.0,1691000000.0,2378000000.0,6563000000.0,28107000000.0,11448000000.0,426200000,3.967620835288597,26.86062881276396
AIG,2023-12-31,,,,,,,702040000,,
AIG,2024-03-31,,,,,,,680953984,,
AIG,2024-06-30,6569000000.0,-3977000000.0,,9940000000.0,167890000000.0,44445000000.0,663667968,-5.992454347291928,66.9687285555418
AIG,2024-09-30,6755000000.0,459000000.0,,10054000000.0,169449000000.0,45039000000.0,643950976,0.7127871796253011,69.94165965826566
AIG,2024-12-31,7173000000.0,898000000.0,,8922000000.0,161322000000.0,42521000000.0,623769024,1.4396354507017008,68.16786080098777
AIG,2025-03-31,6774000000.0,698000000.0,,8753000000.0,161864000000.0,41431000000.0,593332992,1.1764051711454468,69.82756826035387
AIG,2025-06-30,7041000000.0,1144000000.0,,9258000000.0,165971000000.0,41501000000.0,578918976,1.9760969106668216,71.6870610922935
AMD,2023-12-31,,,,,,,1615500032,,
AMD,2024-03-31,,,,,,,1616140032,,
AMD,2024-06-30,5835000000.0,265000000.0,1093000000.0,2245000000.0,67886000000.0,56538000000.0,1616310016,0.1639536953782015,34.979675582236816
AMD,2024-09-30,6819000000.0,771000000.0,1598000000.0,2238000000.0,69636000000.0,56985000000.0,1621149952,0.4755883310170187,35.15097411544074
AMD,2024-12-31,7658000000.0,482000000.0,1694000000.0,2212000000.0,69226000000.0,57568000000.0,1622809984,0.2970156732779874,35.47427028893606
AMD,2025-03-31,7438000000.0,709000000.0,1587000000.0,4731000000.0,71550000000.0,57881000000.0,1620480000,0.4375246840442338,35.71842910742496
AMD,2025-06-30,7685000000.0,872000000.0,721000000.0,3886000000.0,74820000000.0,59665000000.0,1643229952,0.5306621869560469,36.30958645038135
AMGN,2023-12-31,,,,,,,535177984,,
AMGN,2024-06-30,8388000000.0,746000000.0,3002000000.0,62645000000.0,90907000000.0,5925000000.0,536435008,1.3906624080731136,11.04514043945469
AMGN,2024-09-30,8503000000.0,2830000000.0,5273000000.0,60398000000.0,90883000000.0,7527000000.0,538096000,5.259284588623592,13.988210282180132
AMGN,2024-12-31,9086000000.0,627000000.0,2926000000.0,60099000000.0,91839000000.0,5877000000.0,537532992,1.166440031275327,10.933282398413231
AMGN,2025-03-31,8149000000.0,1730000000.0,4083000000.0,57381000000.0,89367000000.0,6207000000.0,537204992,3.220372159162661,11.5542485502443
